[legalize_heu] log lengths/displacements in physical coords (geometry_scale=6.00)
[legalize_heu] snapped 37 boundary module(s) to die edge

[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(23.00, 23.00)
  Tier 0 [iter=0] running sweeps (h-first)
  Tier 0 [near->far] init_w=1.00 mul=2.00 side_bias=0.00(axis=0)
    [move_apply] module_id=745 center=(4.83764, 19.267) dx=0 dy=-0.0521332 rot90=0 weight=2
    [move_apply] module_id=420 center=(8.28705, 34.3455) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=160 center=(41.6115, 23.8119) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=657 center=(14.9889, 39.8431) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=455 center=(4.58501, 25.8677) dx=0.0755361 dy=0 rot90=0 weight=2
    [move_apply] module_id=780 center=(6.40454, 14.3559) dx=0 dy=0.0179705 rot90=0 weight=2
    [move_apply] module_id=382 center=(32.6086, 39.074) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=437 center=(6.54162, 32.0837) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=796 center=(8.90765, 10.4659) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=368 center=(12.1844, 38.4371) dx=0.0478582 dy=0 rot90=0 weight=2
    [move_apply] module_id=536 center=(25.6965, 4.2247) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=454 center=(4.74121, 28.1447) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=520 center=(23.4586, 3.99911) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=535 center=(29.7932, 5.22076) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=550 center=(35.1313, 8.30075) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=519 center=(27.7669, 4.48255) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=92 center=(35.6919, 37.3173) dx=-0.00439219 dy=0 rot90=1 weight=2
    [move_apply] module_id=670 center=(39.1095, 33.3382) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=637 center=(30.7242, 40.7551) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=572 center=(11.9241, 7.06874) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=555 center=(16.0941, 4.8332) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=177 center=(42.1365, 19.8643) dx=-0.0526328 dy=0 rot90=0 weight=2
    [move_apply] module_id=403 center=(10.005, 37.5062) dx=0 dy=0 rot90=0 weight=2
